ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,id
10/16/11,6705,4.360000134,4.360000134,0,0.400000006,0.709999979,3.25,0.01,13,62,122,1243,2035,17
10/17/11,5620,3.650000095,3.650000095,0,0.870000005,1.159999967,1.620000005,0.01,19,51,123,868,2021,17
10/18/11,5274,3.430000067,3.430000067,0,0.370000005,0.300000012,2.75,0,14,52,143,655,2032,17
10/19/11,10158,6.599999905,6.599999905,0,1.019999981,2.529999971,3.049999952,0,26,79,128,666,2195,17
10/20/11,5693,3.700000048,3.700000048,0,0.289999992,0.540000021,2.869999886,0,16,52,123,288,2025,17
10/21/11,15502,10.13000011,10.13000011,0,1.700000048,4.380000114,4.019999981,0,44,118,144,568,2469,17
10/22/11,12423,8.069999695,8.069999695,0,1.850000024,2.680000067,3.549999952,0,39,93,190,672,2415,17
10/23/11,5054,3.339999914,3.339999914,0,0.409999996,0.550000012,2.349999905,0,13,55,116,775,1973,17
10/24/11,9403,6.150000095,6.150000095,0,0,0,6.130000114,0,11,87,213,583,2221,17
10/25/11,10068,6.570000172,6.570000172,0,0,0,6.559999943,0,4,96,151,633,2091,17
10/26/11,12251,8.020000458,8.020000458,0,1.399999976,4.210000038,2.369999886,0.01,29,108,114,715,2256,17
10/27/11,7957,5.170000076,5.170000076,0,0.889999986,1.690000057,2.549999952,0,21,84,108,738,2131,17
10/28/11,10266,6.670000076,6.670000076,0,0,1.350000024,5.320000172,0.01,11,110,149,1170,2167,17
10/29/11,5769,3.75,3.75,0,0.49000001,0.620000005,2.630000114,0,13,57,152,763,2048,17
10/30/11,12275,7.980000019,7.980000019,0,1.870000005,2.24000001,3.859999895,0,44,82,185,1129,2422,17
10/31/11,10072,6.550000191,6.550000191,0,1.529999971,2.730000019,2.269999981,0.01,24,109,150,1157,2310,17
11/1/11,10121,6.579999924,6.579999924,0,0.930000007,2.200000048,3.440000057,0,27,87,140,715,2220,17
11/2/11,10343,6.71999979,6.71999979,0,1.100000024,3.380000114,2.24000001,0.01,19,100,97,683,2152,17
11/3/11,11074,7.199999809,7.199999809,0,0.660000026,0.870000005,5.599999905,0,13,73,174,673,2153,17
11/4/11,11714,7.610000134,7.610000134,0,1.899999976,3.779999971,1.929999948,0,33,96,138,1173,2281,17
11/5/11,10082,6.550000191,6.550000191,0,0.730000019,4.519999981,1.299999952,0,11,108,194,551,2276,17
11/6/11,9899,6.480000019,6.480000019,0,1.75999999,2.390000105,2.180000067,0,31,84,110,673,2212,17
11/7/11,7442,4.880000114,4.880000114,0,0.200000003,0.430000007,4.230000019,0,23,80,156,707,2216,17
11/8/11,12024,7.820000172,7.820000172,0,2.700000048,4.349999905,0.730000019,0,41,97,99,691,2281,17
11/9/11,15134,9.840000153,9.840000153,0,2.549999952,3.829999924,3.460000038,0,46,110,115,634,2390,17
11/10/11,7189,4.670000076,4.670000076,0,1.25,1.840000033,1.580000043,0,25,70,126,692,2123,17
11/11/11,11977,7.789999962,7.789999962,0,2.609999895,4.190000057,0.99000001,0,41,98,123,703,2348,17
11/12/11,6495,4.21999979,4.21999979,0,1.320000052,1.629999995,1.25999999,0.01,20,60,135,1225,2085,17
11/13/11,4261,2.769999981,2.769999981,0,0.479999989,1.129999995,1.159999967,0,8,47,131,1254,1952,17
11/14/11,4592,2.980000019,2.980000019,0,0,0,2.980000019,0,8,62,157,658,2039,17
11/15/11,6564,4.269999981,4.269999981,0,0.829999983,1.830000043,1.600000024,0,15,68,150,608,2103,17
11/16/11,9492,6.170000076,6.170000076,0,0.639999986,2.930000067,2.599999905,0,18,94,114,789,2155,17
11/17/11,7236,4.760000229,4.760000229,0,1.720000029,2.079999924,0.920000017,0.01,26,68,95,795,2104,17
11/18/11,6176,4.010000229,4.010000229,0,0.419999987,0.839999974,2.75,0,20,61,113,742,2052,17
11/19/11,3582,2.329999924,2.329999924,0,0,0,2.329999924,0,6,57,104,700,1899,17
11/20/11,6422,4.170000076,4.170000076,0,0.930000007,1.580000043,1.659999967,0,21,59,94,1266,2019,17
11/21/11,7231,4.699999809,4.699999809,0,1.019999981,0.949999988,2.730000019,0.01,25,60,203,729,2232,17
11/22/11,1884,1.220000029,1.220000029,0,0,0,1.220000029,0,3,33,118,759,1841,17
